Sitetime,Month,year,DW,Stream#,Time,trout time,trout,1,Sitetime,Stream,code,Month,year,Stream#,Date,trout,yrs code,NEW Gage,DOSD Nr nrst gage,Avg Daily Disch  Nr nrst gage,Max disch  Nr nrst gage,Cumulative Junes dry,Preceding Yr Dry  Duration (ys),Time since dry,Elevation,Latitude,Longitude,yrs since burned,yrs since Disturbance,avg % canopy cover,Max Depth,Avg Max depth,Avg Sed. Depth, temp,DO,FLOW,Conductivity,Leaf CPOM wet wt,Algae CPOM wet wt,Nitella aquatic veg CPOM wet wt,Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool/warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified # taxa,Biotic index,Thermal index,pH
20093aho,3,2009,2,3,1,11,1,12,20093aho,Arroyo Hondo,aho,3,2009,3,3/27/09,1,2,HO00,0.0029,0.0067,0.1461,,0,,75,34.489907,-120.143013,4.75,4.75,81.89,1.40,0.90,,13.00,9.27,,740.00,,,,490,0,490,0,0,0,0,168,1,312,481,1,5,0,6,2,1,394,95,1,142,0,0,31,6,0,311,1,403,86,174,316,118,371,1,285,205,0,140,3,347,0,488,2,89,368,33,2,487,1,14,0.55,7.9,0.5690,15.7504,8.25
20093bgu,3,2009,2,16,1,10,0,13,20093bgu,Mission SBBG upper,bgu,3,2009,16,3/24/09,0,4,Mission ,0.0054,0.0150,0.3341,,0,,232,34.460483,-119.710120,91.75,47.3,92.43,0.50,0.30,,10.30,9.70,,804.00,,,,565,8,557,0,0,8,0,143,0,336,479,27,42,7,76,0,2,335,173,39,138,0,0,42,40,12,333,1,463,101,177,370,145,389,31,222,315,28,236,47,282,8,525,32,258,294,13,4,530,31,23,0.68,14.7,1.2728,16.1530,7.98
20093ecm,3,2009,2,8,1,10,0,15,20093ecm,El Capitan usual,ecm,3,2009,8,3/26/09,0,4,HO00,0.0028,0.0067,0.1461,,0,,124,34.482938,-120.017658,53.5,53.5,42.30,0.50,0.38,,14.90,9.82,,637.00,,,,510,16,494,2,0,16,0,290,3,131,424,5,29,36,70,0,0,347,82,72,273,0,0,36,71,3,129,10,384,107,354,147,101,397,3,145,346,10,265,49,198,16,430,64,96,365,49,5,425,80,24,0.61,13.7,0.8872,15.5548,8.15
20093mrn,3,2009,2,18,1,11,1,16,20093mrn,Mission at Rocky Nook,mrn,3,2009,18,3/27/09,1,4,Mission,0.0040,0.0148,0.3341,,0,,129,34.443747,-119.709493,91.75,91.8,91.22,0.66,0.40,,12.90,8.79,,909.00,,,,448,3,445,0,1,2,0,260,0,167,427,7,11,0,18,0,0,307,124,9,257,0,0,10,18,0,163,2,311,135,270,170,147,288,13,57,382,9,372,11,65,3,437,8,255,191,2,5,434,9,20,0.59,9.9,1.3266,15.3505,8.11
20093rau,3,2009,2,20,1,11,1,18,20093rau,Rattlesnake upper,rau,3,2009,20,3/23/09,1,4,RS02,0.0110,0.0149,0.1337,,0,,476,34.470763,-119.688856,44.5,44.5,99.46,0.97,0.70,,12.20,9.79,,798.00,,,,527,4,523,0,2,2,0,46,1,452,499,20,4,0,24,0,0,501,22,4,46,0,0,5,24,0,452,13,500,14,57,470,17,492,18,459,66,2,51,12,464,4,506,17,32,491,4,4,520,3,16,0.25,6.8,0.8522,15.7056,8.31
20093ref,3,2009,2,6,1,10,0,19,20093ref,Refugio,ref,3,2009,6,3/28/09,0,4,HO00,0.0030,0.0066,0.1461,,0,,126,34.506218,-120.064933,53.5,53.5,85.14,0.70,0.48,,13.50,9.43,,699.00,,,,982,24,958,0,0,24,0,267,0,473,740,12,157,38,207,8,3,590,313,77,254,0,0,84,178,0,466,5,882,93,487,493,229,743,8,481,493,6,496,31,455,24,797,161,353,606,23,0,798,184,26,0.61,12.5,1.4093,15.7808,8.25
20093rom,3,2009,2,25,1,10,0,20,20093rom,Romero,rom,3,2009,25,3/21/09,0,4,RS02,0.0114,0.0150,0.1337,0,0,,360,34.458571,-119.591069,37.45,37.45,91.62,0.60,0.38,,12.50,9.53,,624.00,,,,975,26,949,0,26,0,0,202,8,580,790,123,22,13,158,0,1,623,326,18,170,2,0,43,199,2,559,71,826,70,252,715,77,803,87,526,399,42,289,116,570,26,837,112,306,635,34,50,891,34,31,0.63,15.9,1.3725,15.8566,8.10
20093sau,3,2009,2,13,1,10,0,21,20093sau,San Antonio upper,sau,3,2009,13,3/28/09,0,4,Mission ,0.0037,0.0147,0.3341,,0,,138,34.467248,-119.773120,18.75,18.75,21.22,0.48,0.37,,12.10,8.84,,973.00,,,,546,33,513,97,0,33,0,362,0,17,379,31,87,4,122,1,11,318,84,125,366,0,0,140,108,12,17,24,310,193,461,66,254,249,24,37,475,15,542,73,28,33,424,89,325,208,13,0,413,133,26,0.69,15.2,1.8327,15.9201,8.05
20093sjo,3,2009,2,10,1,11,1,22,20093sjo,San Jose,sjo,3,2009,10,3/26/09,1,4,San Jose,0.0119,0.0260,0.5267,,0,,321,34.492925,-119.803048,53.5,53.5,85.54,0.90,0.74,,11.40,10.17,,717.00,,,,253,24,229,0,0,24,0,63,1,137,201,10,16,0,26,1,1,171,51,30,63,0,0,28,26,0,136,7,179,66,106,146,84,143,25,105,132,15,122,28,103,24,211,18,118,132,3,3,212,38,21,0.69,13.5,0.9003,16.3408,8.36
20093sou,3,2009,2,2,1,10,0,23,20093sou,San Onofre upper,sou,3,2009,2,4/4/09,0,3,HO00,0.0015,0.0065,0.1461,0,0,,94,34.481451,-120.189003,4.75,4.75,86.49,1.12,0.82,,11.70,9.78,,797.00,,,,809,2,807,0,1,1,0,402,7,158,567,36,135,59,230,1,9,446,250,110,368,0,0,95,185,7,153,18,668,121,597,210,238,539,30,204,586,17,517,48,243,2,649,158,321,467,21,13,642,154,36,0.68,17.8,2.2726,15.5717,8.26
